Bus,  3-Phase,  1-Phase,  L-L
SOURCEBUS   ,     100419,     105433,      86964
650         ,    2101889,    2728216,    1801810
RG60        ,    1523439,    1799063,    1303323
633         ,       7775,       4463,       6806
634         ,      18691,      15640,      16150
671         ,       5419,       2949,       4818
645         ,       5673,       4172,       5463
646         ,       4757,       3523,       4530
692         ,       5419,       2949,       4818
675         ,       4811,       2749,       4283
611         ,       2248,       2248,          0
652         ,       2172,       2172,          0
670         ,       8127,       4434,       7254
632         ,      10834,       5932,       9689
680         ,       4282,       2348,       3827
684         ,       3828,       2594,       3703
