Bus,  3-Phase,  1-Phase,  L-L
SOURCEBUS   ,       9489,      11070,       8218
800         ,      42625,      63071,      36915
802         ,      15838,      13305,      13663
806         ,      10926,       8616,       9390
808         ,       7391,       5596,       6333
810         ,       2472,       2472,          0
812         ,       4663,       3427,       3985
814         ,       2376,       1704,       2026
814R        ,       2340,       1684,       1997
850         ,       2248,       1621,       1917
816         ,       2163,       1562,       1844
818         ,       1488,       1488,          0
824         ,       2084,       1507,       1776
820         ,       1424,       1424,          0
822         ,       1364,       1364,          0
826         ,       1441,       1441,          0
828         ,       2011,       1455,       1713
830         ,       1942,       1407,       1654
854         ,       1878,       1362,       1598
832         ,       1742,       1269,       1482
858         ,       1689,       1232,       1437
834         ,       1640,       1197,       1395
860         ,       1593,       1164,       1355
842         ,       1593,       1164,       1355
836         ,       1549,       1132,       1317
840         ,       1507,       1103,       1281
862         ,       1507,       1103,       1281
844         ,       1549,       1132,       1317
846         ,       1507,       1102,       1281
848         ,       1467,       1074,       1246
852R        ,       1797,       1308,       1530
856         ,       1307,       1307,          0
852         ,       1817,       1319,       1547
864         ,       1181,       1181,          0
838         ,       1074,       1074,          0
888         ,       1411,       1320,       1220
890         ,       1279,       1149,       1106
