Bus,  NumNodes, R1, X1, R0, X0, Z1, Z0, "X1/R1", "X0/R0"
"SOURCEBUS", 3,    1.78754,    7.12359,     1.3307,    3.99211,    7.34445,    4.20805,    3.985,        3
"800", 3,  0.0840684,   0.343878, 0.000248147, 0.00992018,   0.354005, 0.00992328,     4.09,    39.98
"802", 3,    0.63114,   0.748585,   0.856683,     1.1661,   0.979141,    1.44696,    1.186,    1.361
"806", 3,   0.997372,    1.01871,    1.43254,    1.93849,    1.42567,    2.41037,    1.021,    1.353
"808", 3,    1.55536,    1.42906,     2.3138,    3.11304,    2.11219,    3.87875,   0.9188,    1.345
"810", 1,     4.8767,    3.63626,     4.8767,    3.63626,    6.08314,    6.08314,   0.7456,   0.7456
"812", 3,    2.55701,    2.16192,    3.90759,    5.21465,    3.34846,    6.51627,   0.8455,    1.334
"814", 3,    5.14678,    4.03401,    8.10002,    10.6053,     6.5393,    13.3447,   0.7838,    1.309
"814R", 3,    5.18865,    4.13343,    8.14422,    10.7057,     6.6338,    13.4514,   0.7966,    1.315
"850", 3,    5.43466,     4.2502,    8.50759,    11.0714,    6.89926,    13.9626,   0.7821,    1.301
"816", 3,    5.68036,    4.36668,    8.87117,    11.4364,    7.16481,    14.4737,   0.7687,    1.289
"818", 1,    7.16699,    6.85134,    7.16699,    6.85134,    9.91497,    9.91497,    0.956,    0.956
"824", 3,    5.92679,    4.48358,    9.23638,    11.8053,    7.43164,    14.9892,   0.7565,    1.278
"820", 1,    7.57823,    7.06708,    7.57823,    7.06708,    10.3621,    10.3621,   0.9326,   0.9326
"822", 1,    7.99248,    7.28579,    7.99248,    7.28579,    10.8149,    10.8149,   0.9116,   0.9116
"826", 1,    7.42002,    7.19591,    7.42002,    7.19591,    10.3362,    10.3362,   0.9698,   0.9698
"828", 3,    6.17321,    4.60042,    9.60223,    12.1748,    7.69886,    15.5057,   0.7452,    1.268
"830", 3,    6.41943,    4.71702,    9.96841,    12.5439,    7.96614,    16.0224,   0.7348,    1.258
"854", 3,    6.66569,     4.8336,    10.3349,    12.9126,    8.23378,    16.5392,   0.7251,    1.249
"832", 3,    7.19958,    5.16501,    11.1138,    13.7496,    8.86066,    17.6796,   0.7174,    1.237
"858", 3,    7.44844,    5.28291,    11.4814,    14.1169,    9.13172,    18.1964,   0.7093,     1.23
"834", 3,    7.69733,    5.40071,    11.8493,    14.4838,    9.40301,    18.7132,   0.7016,    1.222
"860", 3,    7.94638,    5.52438,    12.2027,    14.8637,      9.678,    19.2312,   0.6952,    1.218
"842", 3,    7.94945,    5.52042,    12.2195,    14.8542,    9.67826,    19.2344,   0.6944,    1.216
"836", 3,    8.19691,    5.64891,    12.5574,    15.2458,    9.95488,    19.7515,   0.6892,    1.214
"840", 3,    8.44816,    5.77394,    12.9124,    15.6287,    10.2328,    20.2728,   0.6835,     1.21
"862", 3,    8.44839,    5.77402,    12.9127,    15.6287,     10.233,     20.273,   0.6834,     1.21
"844", 3,    8.20159,    5.63998,    12.5902,    15.2243,    9.95367,    19.7559,   0.6877,    1.209
"846", 3,    8.45587,    5.76271,    12.9604,    15.6087,    10.2328,     20.288,   0.6815,    1.204
"848", 3,    8.71049,    5.88557,    13.3313,    15.9943,    10.5125,    20.8216,   0.6757,      1.2
"852R", 3,    6.95377,    5.04906,    10.7466,    13.3819,    8.59348,    17.1629,   0.7261,    1.245
"856", 1,    8.27525,    7.79997,    8.27525,    7.79997,    11.3719,    11.3719,   0.9426,   0.9426
"852", 3,    6.91174,    4.94994,    10.7018,    13.2809,    8.50142,    17.0561,   0.7162,    1.241
"864", 1,    9.23231,    8.35797,    9.23231,    8.35797,    12.4536,    12.4536,   0.9053,   0.9053
"838", 1,    10.1814,     9.3244,    10.1814,     9.3244,     13.806,     13.806,   0.9158,   0.9158
"888", 3,   0.865898,    1.46997,   0.967821,    1.79591,    1.70605,    2.04009,    1.698,    1.856
"890", 3,     1.0247,    1.57401,    1.22842,    2.14914,    1.87817,    2.47544,    1.536,     1.75
