PAC,long,lat
NODE#2015114208,-43.15913879282101,-19.831504507526972
NODE#445011477,-43.15685392307006,-19.827338763273247
NODE#433296879,-43.1731541558396,-19.820379211231568
NODE#433472428,-43.16669389121006,-19.815939071231128
NODE#445011925,-43.153158074585406,-19.815407421715122
NODE#424245680,-43.17125398728166,-19.80908435495894
NODE#1361434537,-43.173403962322936,-19.820600199839305
NODE#445011322,-43.1565766962575,-19.82984810920283
NODE#433471373,-43.16296249522293,-19.815106767563236
NODE#424246344,-43.16377564872715,-19.81149065836712
NODE#442497507,-43.16800494447256,-19.834631202068294
NODE#1856060604,-43.15788714337691,-19.829780179811394
NODE#444955884,-43.169936431021426,-19.816032027855783
NODE#434600367,-43.16061322861759,-19.822204862864112
NODE#537935146,-43.137985449568816,-19.82145865489298
NODE#445056379,-43.13935013300221,-19.82108486247637
NODE#445012475,-43.15053796905198,-19.819354814173266
NODE#445012265,-43.15112033133818,-19.820389447315108
NODE#433471434,-43.16229647350343,-19.813157428572424
NODE#433473272,-43.15182791072948,-19.82125147357658
NODE#444896912,-43.181442758376534,-19.808303925985342
NODE#1981522703,-43.153458919393586,-19.82359387026088
NODE#445009992,-43.16269340637558,-19.82921540106986
NODE#424246390,-43.16195788954491,-19.812356513941893
NODE#444896472,-43.18244069018567,-19.80800648870843
NODE#445010976,-43.15632612624967,-19.829253456781544
NODE#1361434537,-43.173403962322936,-19.820600199839305
NODE#433471318,-43.16221890248033,-19.814020310988496
NODE#1981522202,-43.152644363846264,-19.822378236866086
NODE#433472718,-43.155581692640965,-19.827602091063625
NODE#445012285,-43.15128918804555,-19.82109552124126
NODE#424245856,-43.16821424189368,-19.809647935803525
NODE#424245061,-43.15798212077823,-19.82032649387253
NODE#434600387,-43.16249626688915,-19.813983033190368
NODE#444956619,-43.17022367987886,-19.81837892115027
NODE#442497542,-43.16752696829491,-19.83428887693009
NODE#445012495,-43.148321723868435,-19.819476032892567
NODE#445009607,-43.16221832871287,-19.828165840980716
NODE#424245147,-43.16318833297515,-19.81370707262323
NODE#424311633,-43.1509276147176,-19.81850966369001
NODE#442899901,-43.15554270882893,-19.81845507753974
NODE#433472883,-43.153231108528814,-19.816929312937418
NODE#445012356,-43.15172958425285,-19.82127681647188
NODE#424311638,-43.150704057646124,-19.818647625987126
NODE#444896747,-43.18046316554262,-19.808365300218384
NODE#433470878,-43.16364745486612,-19.812034257175185
NODE#445012810,-43.14879817209794,-19.819926526687823
NODE#444896672,-43.18223831394698,-19.808049924164607
NODE#433474943,-43.13744246949432,-19.821335414497753
NODE#445011077,-43.15762913507649,-19.822797989135836
NODE#2566408161,-43.1863322806102,-19.80834379562964
NODE#442497686,-43.162058978738855,-19.824615695258103
NODE#445012050,-43.15425996802304,-19.81633023045572
NODE#442497632,-43.16401333954394,-19.815592883504735
NODE#445009211,-43.16396628791381,-19.81473215226697
NODE#424245711,-43.1693145345381,-19.80902876606467
NODE#445010807,-43.15792282038183,-19.813280073616454
NODE#442497652,-43.16410689871435,-19.829180483092784
NODE#445012146,-43.15728726859254,-19.822526863324015
NODE#442900136,-43.174176693999186,-19.82245927027907
NODE#2316029041,-43.17092809005925,-19.809107813774517
NODE#424246943,-43.143543414496946,-19.81920464987462
NODE#445009277,-43.16277787609806,-19.81045335783614
NODE#445012491,-43.14874791618337,-19.81853620358288
NODE#434600288,-43.14909570290433,-19.818485711146593
NODE#433473112,-43.15568475944406,-19.827847531338477
NODE#424246759,-43.14147962418525,-19.8218206607948
NODE#445009696,-43.16276821108403,-19.810142414540735
NODE#434807531,-43.16703032668818,-19.815796927086467
NODE#424246874,-43.14279857259601,-19.824065549385523
NODE#2015114209,-43.159483288023296,-19.83205859063139
NODE#424245237,-43.15593905983968,-19.815457786447666
NODE#537937349,-43.15433875492954,-19.81541117278732
NODE#445009331,-43.16374269486943,-19.810641986138705
NODE#424244263,-43.1793564094707,-19.807903045089404
NODE#424245146,-43.16301263962157,-19.813968726775272
NODE#445012261,-43.15117220513309,-19.820831063003084
NODE#1856060615,-43.15771519300171,-19.829600658043887
NODE#434807181,-43.16472997151095,-19.81544000954875
NODE#424244332,-43.17910135544315,-19.807854105782326
NODE#434600422,-43.16231066930192,-19.825169247762517
NODE#434600307,-43.1496958987467,-19.818686346297795
NODE#445011971,-43.156615660284444,-19.8221008985376
NODE#424247123,-43.15096075923162,-19.81624215535112
NODE#445010231,-43.160021722924114,-19.83124510977393
NODE#433470953,-43.16341218412498,-19.809424334665266
NODE#439762200,-43.18521048517573,-19.809107217524
NODE#424245901,-43.167807119702786,-19.809974328552357
NODE#445010092,-43.161334094592746,-19.82458988381603
NODE#424311643,-43.150100576580314,-19.81857478989457
NODE#433298549,-43.167672195315504,-19.817204988419462
NODE#442497647,-43.16305534213029,-19.826821041557764
NODE#1981522686,-43.15400079420124,-19.824471731784968
NODE#424245966,-43.166952044301354,-19.810587878427782
NODE#424245126,-43.163154643471955,-19.814734697348342
NODE#434807045,-43.16965632278101,-19.81585139632483
NODE#445011352,-43.15539920940597,-19.81859760749353
NODE#445009061,-43.16403614635101,-19.811566319230224
NODE#424245571,-43.17808812976335,-19.80757557225479
NODE#433472199,-43.16668543488487,-19.837563610672078
NODE#424246828,-43.1444747991726,-19.81902564971392
NODE#424312122,-43.15013773836591,-19.81707157399387
100#351837711,-43.138989322299324,-19.8196900859287
NODE#445012880,-43.143445504406486,-19.82499766431073
NODE#445011621,-43.15712203525368,-19.82716002661391
NODE#434807405,-43.1708545911664,-19.816347460566817
NODE#445012486,-43.14885671166786,-19.818300838412938
NODE#445010497,-43.160766766273184,-19.83142424033639
NODE#433471813,-43.16829380671379,-19.836701406344787
NODE#424243362,-43.18612919030983,-19.808926180398885
NODE#2566408099,-43.186437733314676,-19.80813927360856
NODE#424246060,-43.16525689419029,-19.81149874776895
NODE#424244058,-43.18611024519163,-19.808957348203023
NODE#439761895,-43.18492563121288,-19.808959717916593
